Rank,Name,Release Date,Platform,Genre,Publisher,Developer,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic Score,User Score,ESRB Rating
1,Wii Sports,2006-11-19,Wii,Sports,Nintendo,Nintendo,41.49,29.02,3.77,8.46,82.74,76.0,80.0,E
2,Super Mario Bros.,1985-09-13,NES,Platform,Nintendo,Nintendo,29.08,3.58,6.81,0.77,40.24,,,
3,Mario Kart Wii,2008-04-10,Wii,Racing,Nintendo,Nintendo,15.85,12.88,3.79,3.31,35.82,82.0,85.0,E
4,Wii Sports Resort,2009-06-25,Wii,Sports,Nintendo,Nintendo,15.75,11.01,3.28,2.96,33.0,80.0,82.0,E
5,Pokemon Red/Pokemon Blue,1996-02-27,GB,Role-Playing,Nintendo,Game Freak,11.27,8.89,10.22,1.0,31.37,,,E
6,Tetris,1984-06-06,GB,Puzzle,Nintendo,Alexey Pajitnov,23.2,2.26,4.22,0.58,30.26,,,
7,New Super Mario Bros.,2006-05-15,DS,Platform,Nintendo,Nintendo,11.38,9.23,6.5,2.9,30.01,89.0,89.0,E
8,Wii Play,2006-12-02,Wii,Misc,Nintendo,Nintendo,14.03,9.2,2.93,2.85,29.02,58.0,60.0,E
9,New Super Mario Bros. Wii,2009-11-12,Wii,Platform,Nintendo,Nintendo,14.59,7.06,4.7,2.26,28.62,87.0,87.0,E
10,Duck Hunt,1984-04-21,NES,Shooter,Nintendo,Nintendo,26.93,0.63,0.28,0.47,28.31,,,
11,Nintendogs,2005-04-21,DS,Simulation,Nintendo,Nintendo,9.07,11.0,1.93,2.75,24.76,85.0,80.0,E
12,Mario Kart DS,2005-11-14,DS,Racing,Nintendo,Nintendo,9.81,7.57,4.13,1.92,23.42,91.0,86.0,E
13,Pokemon Gold/Pokemon Silver,1999-11-21,GB,Role-Playing,Nintendo,Game Freak,9.0,6.18,7.2,0.71,23.1,89.0,90.0,E
14,Wii Fit,2007-12-01,Wii,Sports,Nintendo,Nintendo,8.94,8.03,3.6,2.15,22.72,81.0,78.0,E
15,Wii Fit Plus,2009-10-01,Wii,Sports,Nintendo,Nintendo,9.09,8.59,2.53,1.79,22.0,80.0,80.0,E
16,Kinect Adventures!,2010-11-04,X360,Misc,Microsoft Game Studios,Good Science Studio,14.97,4.94,0.24,1.67,21.82,61.0,63.0,E
17,Grand Theft Auto V,2013-09-17,PS3,Action,Take-Two Interactive,Rockstar North,7.01,9.27,0.97,4.14,21.4,97.0,83.0,M
18,Grand Theft Auto: San Andreas,2004-10-26,PS2,Action,Take-Two Interactive,Rockstar North,9.43,0.4,0.41,10.57,20.81,95.0,89.0,M
19,Super Mario World,1990-11-21,SNES,Platform,Nintendo,Nintendo,12.78,3.75,3.54,0.55,20.61,94.0,92.0,E
20,Brain Age: Train Your Brain in Minutes a Day,2005-05-19,DS,Misc,Nintendo,Nintendo,4.75,9.26,4.16,2.05,20.22,80.0,75.0,E
21,Pokemon Diamond/Pokemon Pearl,2006-09-28,DS,Role-Playing,Nintendo,Game Freak,6.42,4.52,6.04,1.37,18.36,85.0,89.0,E
22,Super Mario Land,1989-04-21,GB,Platform,Nintendo,Nintendo,10.83,2.71,4.18,0.42,18.14,86.0,85.0,E
23,Super Mario Bros. 3,1988-10-23,NES,Platform,Nintendo,Nintendo,9.54,3.44,3.84,0.46,17.28,94.0,91.0,E
24,Grand Theft Auto V,2013-09-17,X360,Action,Take-Two Interactive,Rockstar North,9.63,5.31,0.06,1.38,16.38,97.0,83.0,M
25,Grand Theft Auto: Vice City,2002-10-29,PS2,Action,Take-Two Interactive,Rockstar North,8.41,5.49,0.47,1.78,16.15,95.0,88.0,M
26,Pokemon Ruby/Pokemon Sapphire,2002-11-21,GBA,Role-Playing,Nintendo,Game Freak,6.06,3.9,5.38,0.5,15.85,82.0,85.0,E
27,Pokemon Black/Pokemon White,2010-09-18,DS,Role-Playing,Nintendo,Game Freak,5.57,3.28,5.65,0.82,15.32,87.0,89.0,E
28,Brain Age 2: More Training in Minutes a Day,2005-12-29,DS,Puzzle,Nintendo,Nintendo,3.44,5.36,5.32,1.18,15.3,77.0,72.0,E
29,Gran Turismo 3: A-Spec,2001-04-28,PS2,Racing,Sony Computer Entertainment,Polyphony Digital,6.85,5.09,1.87,1.16,14.98,95.0,87.0,E
30,Call of Duty: Modern Warfare 3,2011-11-08,X360,Shooter,Activision,Infinity Ward,9.03,4.28,0.13,1.32,14.76,88.0,82.0,M
32,Call of Duty: Black Ops,2010-11-09,X360,Shooter,Activision,Treyarch,9.67,3.73,0.11,1.13,14.64,88.0,85.0,M
33,Pokemon X/Pokemon Y,2013-10-12,3DS,Role-Playing,Nintendo,Game Freak,5.17,4.05,4.34,0.79,14.35,87.0,84.0,E
34,Call of Duty: Black Ops 3,2015-11-06,PS4,Shooter,Activision,Treyarch,5.77,5.81,0.35,2.31,14.24,81.0,72.0,M
35,Call of Duty: Black Ops II,2012-11-13,PS3,Shooter,Activision,Treyarch,4.99,5.88,0.65,2.52,14.03,83.0,80.0,M
36,Call of Duty: Black Ops II,2012-11-13,X360,Shooter,Activision,Treyarch,8.25,4.3,0.07,1.12,13.73,83.0,80.0,M
37,Call of Duty: Modern Warfare 2,2009-11-10,X360,Shooter,Activision,Infinity Ward,8.52,3.63,0.08,1.29,13.51,94.0,86.0,M
38,Call of Duty: Modern Warfare 3,2011-11-08,PS3,Shooter,Activision,Infinity Ward,5.54,5.82,0.49,1.62,13.46,88.0,82.0,M
39,Grand Theft Auto III,2001-10-22,PS2,Action,Take-Two Interactive,DMA Design,6.99,4.51,0.3,1.3,13.1,97.0,86.0,M
40,Super Smash Bros. Brawl,2008-01-31,Wii,Fighting,Nintendo,Nintendo,6.75,2.61,2.66,1.02,13.04,93.0,87.0,T
41,Call of Duty: Black Ops,2010-11-09,PS3,Shooter,Activision,Treyarch,5.98,4.44,0.48,1.83,12.73,88.0,85.0,M
42,Animal Crossing: Wild World,2005-11-23,DS,Simulation,Nintendo,Nintendo,2.55,3.52,5.33,0.88,12.27,86.0,85.0,E
43,Mario Kart 7,2011-12-01,3DS,Racing,Nintendo,Nintendo,4.74,3.91,2.67,0.89,12.21,85.0,82.0,E
44,Halo 3,2007-09-25,X360,Shooter,Microsoft Game Studios,Bungie,7.97,2.83,0.13,1.21,12.14,94.0,89.0,M
45,Grand Theft Auto V,2013-09-17,PS4,Action,Take-Two Interactive,Rockstar North,3.8,5.81,0.36,2.02,11.98,97.0,83.0,M
46,Pokemon HeartGold/Pokemon SoulSilver,2009-09-12,DS,Action,Nintendo,Game Freak,4.4,2.77,3.96,0.77,11.9,87.0,89.0,E
